,subject,sensor_id,hrs_to_calving,variables,value
66,112BL,BL,5,mi,100
67,112BL,BL,6,mi,245
68,112BL,BL,7,mi,0
69,112BL,BL,8,mi,14
70,112BL,BL,9,mi,39
71,112BL,BL,10,mi,172
72,112BR,BR,-61,mi,1
73,112BR,BR,-60,mi,33
74,112BR,BR,-59,mi,29
75,112BR,BR,-58,mi,17
76,112BR,BR,-57,mi,6
77,112BR,BR,-56,mi,21
78,112BR,BR,-55,mi,116
79,112BR,BR,-54,mi,85
80,112BR,BR,-53,mi,162
81,112BR,BR,-52,mi,232
82,112BR,BR,-51,mi,66
83,112BR,BR,-50,mi,9
84,112BR,BR,-49,mi,97
85,112BR,BR,-48,mi,142
86,112BR,BR,-47,mi,105
87,112BR,BR,-46,mi,52
88,112BR,BR,-45,mi,89
89,112BR,BR,-44,mi,3
90,112BR,BR,-43,mi,32
91,112BR,BR,-42,mi,224
92,112BR,BR,-41,mi,78
93,112BR,BR,-40,mi,43
94,112BR,BR,-39,mi,1
95,112BR,BR,-38,mi,101
96,112BR,BR,-37,mi,45
97,112BR,BR,-36,mi,50
98,112BR,BR,-35,mi,2
99,112BR,BR,-34,mi,204
100,112BR,BR,-33,mi,7
101,112BR,BR,-32,mi,49
102,112BR,BR,-31,mi,212
103,112BR,BR,-30,mi,58
104,112BR,BR,-29,mi,613
105,112BR,BR,-28,mi,381
106,112BR,BR,-27,mi,445
107,112BR,BR,-26,mi,423
108,112BR,BR,-25,mi,257
109,112BR,BR,-24,mi,256
110,112BR,BR,-23,mi,306
111,112BR,BR,-22,mi,270
112,112BR,BR,-21,mi,330
113,112BR,BR,-20,mi,160
114,112BR,BR,-19,mi,236
115,112BR,BR,-18,mi,69
116,112BR,BR,-17,mi,37
117,112BR,BR,-16,mi,212
118,112BR,BR,-15,mi,47
119,112BR,BR,-14,mi,80
120,112BR,BR,-13,mi,138
121,112BR,BR,-12,mi,235
122,112BR,BR,-11,mi,117
123,112BR,BR,-10,mi,257
124,112BR,BR,-9,mi,121
125,112BR,BR,-8,mi,139
126,112BR,BR,-7,mi,152
127,112BR,BR,-6,mi,257
128,112BR,BR,-5,mi,186
129,112BR,BR,-4,mi,184
130,112BR,BR,-3,mi,276
131,112BR,BR,-2,mi,185
132,112BR,BR,-1,mi,129
133,112BR,BR,0,mi,174
134,112BR,BR,1,mi,264
135,112BR,BR,2,mi,1341
136,112BR,BR,3,mi,54
137,112BR,BR,4,mi,209
138,112BR,BR,5,mi,93
139,112BR,BR,6,mi,283
140,112BR,BR,7,mi,0
141,112BR,BR,8,mi,22
142,112BR,BR,9,mi,34
143,112BR,BR,10,mi,170
144,112FL,FL,-61,mi,3
145,112FL,FL,-60,mi,25
146,112FL,FL,-59,mi,12
147,112FL,FL,-58,mi,37
148,112FL,FL,-57,mi,56
149,112FL,FL,-56,mi,74
150,112FL,FL,-55,mi,166
151,112FL,FL,-54,mi,94
152,112FL,FL,-53,mi,160
153,112FL,FL,-52,mi,330
154,112FL,FL,-51,mi,49
155,112FL,FL,-50,mi,3
156,112FL,FL,-49,mi,158
157,112FL,FL,-48,mi,103
158,112FL,FL,-47,mi,155
159,112FL,FL,-46,mi,95
160,112FL,FL,-45,mi,136
161,112FL,FL,-44,mi,0
162,112FL,FL,-43,mi,243
163,112FL,FL,-42,mi,146
164,112FL,FL,-41,mi,67
165,112FL,FL,-40,mi,107
166,112FL,FL,-39,mi,14
167,112FL,FL,-38,mi,224
168,112FL,FL,-37,mi,32
169,112FL,FL,-36,mi,31
170,112FL,FL,-35,mi,271
171,112FL,FL,-34,mi,86
172,112FL,FL,-33,mi,17
173,112FL,FL,-32,mi,121
174,112FL,FL,-31,mi,281
175,112FL,FL,-30,mi,559
176,112FL,FL,-29,mi,485
177,112FL,FL,-28,mi,295
178,112FL,FL,-27,mi,360
179,112FL,FL,-26,mi,457
180,112FL,FL,-25,mi,320
181,112FL,FL,-24,mi,441
182,112FL,FL,-23,mi,362
183,112FL,FL,-22,mi,276
184,112FL,FL,-21,mi,330
185,112FL,FL,-20,mi,270
186,112FL,FL,-19,mi,167
187,112FL,FL,-18,mi,140
188,112FL,FL,-17,mi,73
189,112FL,FL,-16,mi,346
190,112FL,FL,-15,mi,32
191,112FL,FL,-14,mi,178
192,112FL,FL,-13,mi,187
193,112FL,FL,-12,mi,240
194,112FL,FL,-11,mi,326
195,112FL,FL,-10,mi,140
196,112FL,FL,-9,mi,70
197,112FL,FL,-8,mi,266
198,112FL,FL,-7,mi,212
199,112FL,FL,-6,mi,350
200,112FL,FL,-5,mi,269
201,112FL,FL,-4,mi,372
202,112FL,FL,-3,mi,256
203,112FL,FL,-2,mi,259
204,112FL,FL,-1,mi,156
205,112FL,FL,0,mi,221
206,112FL,FL,1,mi,544
207,112FL,FL,2,mi,2006
208,112FL,FL,3,mi,209
209,112FL,FL,4,mi,149
210,112FL,FL,5,mi,256
211,112FL,FL,6,mi,333
212,112FL,FL,7,mi,9
213,112FL,FL,8,mi,10
214,112FL,FL,9,mi,45
215,112FL,FL,10,mi,290
216,126BL,BL,-70,mi,83
217,126BL,BL,-69,mi,3
218,126BL,BL,-68,mi,5
219,126BL,BL,-67,mi,144
220,126BL,BL,-66,mi,123
221,126BL,BL,-65,mi,0
222,126BL,BL,-64,mi,66
223,126BL,BL,-63,mi,77
224,126BL,BL,-62,mi,139
225,126BL,BL,-61,mi,120
226,126BL,BL,-60,mi,127
227,126BL,BL,-59,mi,129
228,126BL,BL,-58,mi,140
229,126BL,BL,-57,mi,114
230,126BL,BL,-56,mi,129
231,126BL,BL,-55,mi,97
232,126BL,BL,-54,mi,87
233,126BL,BL,-53,mi,108
234,126BL,BL,-52,mi,91
235,126BL,BL,-51,mi,214
236,126BL,BL,-50,mi,0
237,126BL,BL,-49,mi,206
238,126BL,BL,-48,mi,105
239,126BL,BL,-47,mi,297
240,126BL,BL,-46,mi,90
241,126BL,BL,-45,mi,1
242,126BL,BL,-44,mi,0
243,126BL,BL,-43,mi,146
244,126BL,BL,-42,mi,77
245,126BL,BL,-41,mi,62
246,126BL,BL,-40,mi,102
247,126BL,BL,-39,mi,91
248,126BL,BL,-38,mi,106
249,126BL,BL,-37,mi,137
250,126BL,BL,-36,mi,74
251,126BL,BL,-35,mi,193
252,126BL,BL,-34,mi,96
253,126BL,BL,-33,mi,61
254,126BL,BL,-32,mi,111
255,126BL,BL,-31,mi,118
256,126BL,BL,-30,mi,126
257,126BL,BL,-29,mi,112
258,126BL,BL,-28,mi,111
259,126BL,BL,-27,mi,146
260,126BL,BL,-26,mi,190
261,126BL,BL,-25,mi,73
262,126BL,BL,-24,mi,6
263,126BL,BL,-23,mi,86
264,126BL,BL,-22,mi,76
265,126BL,BL,-21,mi,166
266,126BL,BL,-20,mi,183
267,126BL,BL,-19,mi,131
268,126BL,BL,-18,mi,224
269,126BL,BL,-17,mi,197
270,126BL,BL,-16,mi,288
271,126BL,BL,-15,mi,290
272,126BL,BL,-14,mi,430
273,126BL,BL,-13,mi,125
274,126BL,BL,-12,mi,188
275,126BL,BL,-11,mi,186
276,126BL,BL,-10,mi,247
277,126BL,BL,-9,mi,226
278,126BL,BL,-8,mi,63
279,126BL,BL,-7,mi,105
280,126BL,BL,-6,mi,124
281,126BL,BL,-5,mi,11
282,126BL,BL,-4,mi,99
283,126BL,BL,-3,mi,449
284,126BL,BL,-2,mi,97
285,126BL,BL,-1,mi,79
286,126BL,BL,0,mi,113
287,126BL,BL,1,mi,71
288,126BR,BR,-70,mi,59
289,126BR,BR,-69,mi,0
290,126BR,BR,-68,mi,0
291,126BR,BR,-67,mi,144
292,126BR,BR,-66,mi,96
293,126BR,BR,-65,mi,6
294,126BR,BR,-64,mi,39
295,126BR,BR,-63,mi,57
296,126BR,BR,-62,mi,85
297,126BR,BR,-61,mi,123
298,126BR,BR,-60,mi,116
299,126BR,BR,-59,mi,107
300,126BR,BR,-58,mi,136
301,126BR,BR,-57,mi,83
302,126BR,BR,-56,mi,140
303,126BR,BR,-55,mi,111
304,126BR,BR,-54,mi,83
305,126BR,BR,-53,mi,106
306,126BR,BR,-52,mi,78
307,126BR,BR,-51,mi,175
308,126BR,BR,-50,mi,32
309,126BR,BR,-49,mi,310
310,126BR,BR,-48,mi,86
311,126BR,BR,-47,mi,216
312,126BR,BR,-46,mi,48
313,126BR,BR,-45,mi,0
314,126BR,BR,-44,mi,0
315,126BR,BR,-43,mi,143
316,126BR,BR,-42,mi,53
317,126BR,BR,-41,mi,43
318,126BR,BR,-40,mi,132
319,126BR,BR,-39,mi,123
320,126BR,BR,-38,mi,104
321,126BR,BR,-37,mi,196
322,126BR,BR,-36,mi,115
323,126BR,BR,-35,mi,159
324,126BR,BR,-34,mi,107
325,126BR,BR,-33,mi,111
326,126BR,BR,-32,mi,150
327,126BR,BR,-31,mi,120
328,126BR,BR,-30,mi,167
329,126BR,BR,-29,mi,97
330,126BR,BR,-28,mi,137
331,126BR,BR,-27,mi,170
332,126BR,BR,-26,mi,211
333,126BR,BR,-25,mi,82
334,126BR,BR,-24,mi,0
335,126BR,BR,-23,mi,85
336,126BR,BR,-22,mi,103
337,126BR,BR,-21,mi,164
338,126BR,BR,-20,mi,157
339,126BR,BR,-19,mi,156
340,126BR,BR,-18,mi,246
341,126BR,BR,-17,mi,276
342,126BR,BR,-16,mi,399
343,126BR,BR,-15,mi,377
344,126BR,BR,-14,mi,642
345,126BR,BR,-13,mi,239
346,126BR,BR,-12,mi,280
347,126BR,BR,-11,mi,212
348,126BR,BR,-10,mi,242
349,126BR,BR,-9,mi,240
350,126BR,BR,-8,mi,85
351,126BR,BR,-7,mi,138
352,126BR,BR,-6,mi,105
353,126BR,BR,-5,mi,37
354,126BR,BR,-4,mi,67
355,126BR,BR,-3,mi,427
356,126BR,BR,-2,mi,98
357,126BR,BR,-1,mi,93
358,126BR,BR,0,mi,122
359,126BR,BR,1,mi,79
360,126FL,FL,-70,mi,31
361,126FL,FL,-69,mi,5
362,126FL,FL,-68,mi,18
363,126FL,FL,-67,mi,34
364,126FL,FL,-66,mi,26
365,126FL,FL,-65,mi,0
366,126FL,FL,-64,mi,55
367,126FL,FL,-63,mi,15
368,126FL,FL,-62,mi,51
369,126FL,FL,-61,mi,84
370,126FL,FL,-60,mi,136
371,126FL,FL,-59,mi,49
372,126FL,FL,-58,mi,97
373,126FL,FL,-57,mi,60
374,126FL,FL,-56,mi,168
375,126FL,FL,-55,mi,104
376,126FL,FL,-54,mi,92
377,126FL,FL,-53,mi,163
378,126FL,FL,-52,mi,85
379,126FL,FL,-51,mi,218
380,126FL,FL,-50,mi,15
381,126FL,FL,-49,mi,20
382,126FL,FL,-48,mi,52
383,126FL,FL,-47,mi,59
384,126FL,FL,-46,mi,14
385,126FL,FL,-45,mi,2
386,126FL,FL,-44,mi,69
387,126FL,FL,-43,mi,82
388,126FL,FL,-42,mi,58
389,126FL,FL,-41,mi,84
390,126FL,FL,-40,mi,117
391,126FL,FL,-39,mi,28
392,126FL,FL,-38,mi,63
393,126FL,FL,-37,mi,157
394,126FL,FL,-36,mi,58
395,126FL,FL,-35,mi,109
396,126FL,FL,-34,mi,49
397,126FL,FL,-33,mi,63
398,126FL,FL,-32,mi,167
399,126FL,FL,-31,mi,143
400,126FL,FL,-30,mi,83
401,126FL,FL,-29,mi,146
402,126FL,FL,-28,mi,76
403,126FL,FL,-27,mi,245
404,126FL,FL,-26,mi,221
405,126FL,FL,-25,mi,12
406,126FL,FL,-24,mi,8
407,126FL,FL,-23,mi,72
408,126FL,FL,-22,mi,93
409,126FL,FL,-21,mi,74
410,126FL,FL,-20,mi,102
411,126FL,FL,-19,mi,245
412,126FL,FL,-18,mi,236
413,126FL,FL,-17,mi,327
414,126FL,FL,-16,mi,348
415,126FL,FL,-15,mi,303
416,126FL,FL,-14,mi,419
417,126FL,FL,-13,mi,125
418,126FL,FL,-12,mi,287
419,126FL,FL,-11,mi,269
420,126FL,FL,-10,mi,307
421,126FL,FL,-9,mi,213
422,126FL,FL,-8,mi,3
423,126FL,FL,-7,mi,123
424,126FL,FL,-6,mi,20
425,126FL,FL,-5,mi,20
426,126FL,FL,-4,mi,158
427,126FL,FL,-3,mi,412
428,126FL,FL,-2,mi,39
429,126FL,FL,-1,mi,91
430,126FL,FL,0,mi,71
431,126FL,FL,1,mi,83
432,127BL,BL,-60,mi,0
433,127BL,BL,-59,mi,33
434,127BL,BL,-58,mi,36
435,127BL,BL,-57,mi,32
436,127BL,BL,-56,mi,19
437,127BL,BL,-55,mi,13
438,127BL,BL,-54,mi,22
439,127BL,BL,-53,mi,125
440,127BL,BL,-52,mi,136
441,127BL,BL,-51,mi,111
442,127BL,BL,-50,mi,28
443,127BL,BL,-49,mi,14
444,127BL,BL,-48,mi,215
445,127BL,BL,-47,mi,82
446,127BL,BL,-46,mi,22
447,127BL,BL,-45,mi,66
448,127BL,BL,-44,mi,200
449,127BL,BL,-43,mi,141
450,127BL,BL,-42,mi,111
451,127BL,BL,-41,mi,148
452,127BL,BL,-40,mi,29
453,127BL,BL,-39,mi,12
454,127BL,BL,-38,mi,55
455,127BL,BL,-37,mi,41
456,127BL,BL,-36,mi,44
457,127BL,BL,-35,mi,16
458,127BL,BL,-34,mi,82
459,127BL,BL,-33,mi,116
460,127BL,BL,-32,mi,15
461,127BL,BL,-31,mi,19
462,127BL,BL,-30,mi,27
463,127BL,BL,-29,mi,143
464,127BL,BL,-28,mi,419
465,127BL,BL,-27,mi,55
466,127BL,BL,-26,mi,481
467,127BL,BL,-25,mi,290
468,127BL,BL,-24,mi,110
469,127BL,BL,-23,mi,119
470,127BL,BL,-22,mi,271
471,127BL,BL,-21,mi,91
472,127BL,BL,-20,mi,172
473,127BL,BL,-19,mi,43
474,127BL,BL,-18,mi,7
475,127BL,BL,-17,mi,73
476,127BL,BL,-16,mi,121
477,127BL,BL,-15,mi,96
478,127BL,BL,-14,mi,0
479,127BL,BL,-13,mi,28
480,127BL,BL,-12,mi,105
481,127BL,BL,-11,mi,0
482,127BL,BL,-10,mi,139
483,127BL,BL,-9,mi,46
484,127BL,BL,-8,mi,126
485,127BL,BL,-7,mi,323
486,127BL,BL,-6,mi,229
487,127BL,BL,-5,mi,83
488,127BL,BL,-4,mi,151
489,127BL,BL,-3,mi,163
490,127BL,BL,-2,mi,155
491,127BL,BL,-1,mi,41
492,127BL,BL,0,mi,302
493,127BL,BL,1,mi,202
494,127BL,BL,2,mi,260
495,127BL,BL,3,mi,1101
496,127BL,BL,4,mi,617
497,127BL,BL,5,mi,178
498,127BL,BL,6,mi,23
499,127BL,BL,7,mi,34
500,127BL,BL,8,mi,157
501,127BL,BL,9,mi,226
502,127BL,BL,10,mi,7
503,127BL,BL,11,mi,293
504,127BR,BR,-60,mi,12
505,127BR,BR,-59,mi,8
506,127BR,BR,-58,mi,26
507,127BR,BR,-57,mi,53
508,127BR,BR,-56,mi,0
509,127BR,BR,-55,mi,4
510,127BR,BR,-54,mi,56
511,127BR,BR,-53,mi,206
512,127BR,BR,-52,mi,155
513,127BR,BR,-51,mi,164
514,127BR,BR,-50,mi,28
515,127BR,BR,-49,mi,22
516,127BR,BR,-48,mi,265
517,127BR,BR,-47,mi,69
518,127BR,BR,-46,mi,25
519,127BR,BR,-45,mi,206
520,127BR,BR,-44,mi,146
521,127BR,BR,-43,mi,79
522,127BR,BR,-42,mi,164
523,127BR,BR,-41,mi,122
524,127BR,BR,-40,mi,34
525,127BR,BR,-39,mi,39
526,127BR,BR,-38,mi,63
527,127BR,BR,-37,mi,8
528,127BR,BR,-36,mi,65
529,127BR,BR,-35,mi,33
530,127BR,BR,-34,mi,126
531,127BR,BR,-33,mi,78
532,127BR,BR,-32,mi,58
533,127BR,BR,-31,mi,25
534,127BR,BR,-30,mi,61
535,127BR,BR,-29,mi,116
536,127BR,BR,-28,mi,391
537,127BR,BR,-27,mi,104
538,127BR,BR,-26,mi,612
539,127BR,BR,-25,mi,598
540,127BR,BR,-24,mi,76
541,127BR,BR,-23,mi,150
542,127BR,BR,-22,mi,372
543,127BR,BR,-21,mi,127
544,127BR,BR,-20,mi,214
545,127BR,BR,-19,mi,0
546,127BR,BR,-18,mi,3
547,127BR,BR,-17,mi,68
548,127BR,BR,-16,mi,168
549,127BR,BR,-15,mi,107
550,127BR,BR,-14,mi,28
551,127BR,BR,-13,mi,64
552,127BR,BR,-12,mi,140
553,127BR,BR,-11,mi,5
554,127BR,BR,-10,mi,157
555,127BR,BR,-9,mi,113
556,127BR,BR,-8,mi,31
557,127BR,BR,-7,mi,349
558,127BR,BR,-6,mi,223
559,127BR,BR,-5,mi,130
560,127BR,BR,-4,mi,160
561,127BR,BR,-3,mi,206
562,127BR,BR,-2,mi,119
563,127BR,BR,-1,mi,57
564,127BR,BR,0,mi,335
565,127BR,BR,1,mi,223
566,127BR,BR,2,mi,261
567,127BR,BR,3,mi,1347
568,127BR,BR,4,mi,508
569,127BR,BR,5,mi,46
570,127BR,BR,6,mi,26
571,127BR,BR,7,mi,159
572,127BR,BR,8,mi,188
573,127BR,BR,9,mi,173
574,127BR,BR,10,mi,6
575,127BR,BR,11,mi,284
576,127FL,FL,-60,mi,15
577,127FL,FL,-59,mi,11
578,127FL,FL,-58,mi,15
579,127FL,FL,-57,mi,61
580,127FL,FL,-56,mi,2
581,127FL,FL,-55,mi,12
582,127FL,FL,-54,mi,52
583,127FL,FL,-53,mi,109
584,127FL,FL,-52,mi,69
585,127FL,FL,-51,mi,126
586,127FL,FL,-50,mi,21
587,127FL,FL,-49,mi,21
588,127FL,FL,-48,mi,284
589,127FL,FL,-47,mi,40
590,127FL,FL,-46,mi,21
591,127FL,FL,-45,mi,170
592,127FL,FL,-44,mi,96
593,127FL,FL,-43,mi,88
594,127FL,FL,-42,mi,149
595,127FL,FL,-41,mi,96
596,127FL,FL,-40,mi,20
597,127FL,FL,-39,mi,33
598,127FL,FL,-38,mi,78
599,127FL,FL,-37,mi,14
600,127FL,FL,-36,mi,33
601,127FL,FL,-35,mi,18
602,127FL,FL,-34,mi,127
603,127FL,FL,-33,mi,86
604,127FL,FL,-32,mi,4
605,127FL,FL,-31,mi,14
606,127FL,FL,-30,mi,56
607,127FL,FL,-29,mi,47
608,127FL,FL,-28,mi,417
609,127FL,FL,-27,mi,79
610,127FL,FL,-26,mi,583
611,127FL,FL,-25,mi,453
612,127FL,FL,-24,mi,47
613,127FL,FL,-23,mi,77
614,127FL,FL,-22,mi,338
615,127FL,FL,-21,mi,59
616,127FL,FL,-20,mi,227
617,127FL,FL,-19,mi,5
618,127FL,FL,-18,mi,3
619,127FL,FL,-17,mi,39
620,127FL,FL,-16,mi,147
621,127FL,FL,-15,mi,101
622,127FL,FL,-14,mi,12
623,127FL,FL,-13,mi,33
624,127FL,FL,-12,mi,118
625,127FL,FL,-11,mi,0
626,127FL,FL,-10,mi,242
627,127FL,FL,-9,mi,89
628,127FL,FL,-8,mi,60
629,127FL,FL,-7,mi,455
630,127FL,FL,-6,mi,223
631,127FL,FL,-5,mi,112
632,127FL,FL,-4,mi,176
633,127FL,FL,-3,mi,221
634,127FL,FL,-2,mi,190
635,127FL,FL,-1,mi,82
636,127FL,FL,0,mi,379
637,127FL,FL,1,mi,289
638,127FL,FL,2,mi,351
639,127FL,FL,3,mi,1534
640,127FL,FL,4,mi,543
641,127FL,FL,5,mi,60
642,127FL,FL,6,mi,9
643,127FL,FL,7,mi,118
644,127FL,FL,8,mi,121
645,127FL,FL,9,mi,169
646,127FL,FL,10,mi,8
647,127FL,FL,11,mi,262
648,137BL,BL,-57,mi,0
649,137BL,BL,-56,mi,0
650,137BL,BL,-55,mi,19
651,137BL,BL,-54,mi,89
652,137BL,BL,-53,mi,2
653,137BL,BL,-52,mi,44
654,137BL,BL,-51,mi,13
655,137BL,BL,-50,mi,145
656,137BL,BL,-49,mi,440
657,137BL,BL,-48,mi,334
658,137BL,BL,-47,mi,333
659,137BL,BL,-46,mi,133
660,137BL,BL,-45,mi,0
661,137BL,BL,-44,mi,211
662,137BL,BL,-43,mi,336
663,137BL,BL,-42,mi,79
664,137BL,BL,-41,mi,0
665,137BL,BL,-40,mi,22
666,137BL,BL,-39,mi,194
667,137BL,BL,-38,mi,283
668,137BL,BL,-37,mi,29
669,137BL,BL,-36,mi,21
670,137BL,BL,-35,mi,10
671,137BL,BL,-34,mi,0
672,137BL,BL,-33,mi,54
673,137BL,BL,-32,mi,4
674,137BL,BL,-31,mi,21
675,137BL,BL,-30,mi,63
676,137BL,BL,-29,mi,45
677,137BL,BL,-28,mi,49
678,137BL,BL,-27,mi,206
679,137BL,BL,-26,mi,108
680,137BL,BL,-25,mi,45
681,137BL,BL,-24,mi,0
682,137BL,BL,-23,mi,131
683,137BL,BL,-22,mi,102
684,137BL,BL,-21,mi,129
685,137BL,BL,-20,mi,349
686,137BL,BL,-19,mi,124
687,137BL,BL,-18,mi,51
688,137BL,BL,-17,mi,47
689,137BL,BL,-16,mi,66
690,137BL,BL,-15,mi,91
691,137BL,BL,-14,mi,132
692,137BL,BL,-13,mi,138
693,137BL,BL,-12,mi,156
694,137BL,BL,-11,mi,203
695,137BL,BL,-10,mi,91
696,137BL,BL,-9,mi,160
697,137BL,BL,-8,mi,207
698,137BL,BL,-7,mi,135
699,137BL,BL,-6,mi,83
700,137BL,BL,-5,mi,101
701,137BL,BL,-4,mi,77
702,137BL,BL,-3,mi,116
703,137BL,BL,-2,mi,206
704,137BL,BL,-1,mi,424
705,137BL,BL,0,mi,230
706,137BL,BL,1,mi,61
707,137BL,BL,2,mi,309
708,137BL,BL,3,mi,491
709,137BL,BL,4,mi,274
710,137BL,BL,5,mi,585
711,137BL,BL,6,mi,663
712,137BL,BL,7,mi,67
713,137BL,BL,8,mi,0
714,137BL,BL,9,mi,83
715,137BL,BL,10,mi,211
716,137BL,BL,11,mi,283
717,137BL,BL,12,mi,123
718,137BL,BL,13,mi,213
719,137BL,BL,14,mi,33
720,137BR,BR,-57,mi,2
721,137BR,BR,-56,mi,1
722,137BR,BR,-55,mi,11
723,137BR,BR,-54,mi,82
724,137BR,BR,-53,mi,0
725,137BR,BR,-52,mi,63
726,137BR,BR,-51,mi,1
727,137BR,BR,-50,mi,161
728,137BR,BR,-49,mi,521
729,137BR,BR,-48,mi,414
730,137BR,BR,-47,mi,238
731,137BR,BR,-46,mi,135
732,137BR,BR,-45,mi,1
733,137BR,BR,-44,mi,305
734,137BR,BR,-43,mi,219
735,137BR,BR,-42,mi,85
736,137BR,BR,-41,mi,2
737,137BR,BR,-40,mi,42
738,137BR,BR,-39,mi,210
739,137BR,BR,-38,mi,304
740,137BR,BR,-37,mi,31
741,137BR,BR,-36,mi,9
742,137BR,BR,-35,mi,22
743,137BR,BR,-34,mi,4
744,137BR,BR,-33,mi,49
745,137BR,BR,-32,mi,0
746,137BR,BR,-31,mi,38
747,137BR,BR,-30,mi,18
748,137BR,BR,-29,mi,111
749,137BR,BR,-28,mi,35
750,137BR,BR,-27,mi,200
751,137BR,BR,-26,mi,152
752,137BR,BR,-25,mi,67
753,137BR,BR,-24,mi,1
754,137BR,BR,-23,mi,111
755,137BR,BR,-22,mi,101
756,137BR,BR,-21,mi,152
757,137BR,BR,-20,mi,373
758,137BR,BR,-19,mi,109
759,137BR,BR,-18,mi,61
760,137BR,BR,-17,mi,51
761,137BR,BR,-16,mi,55
762,137BR,BR,-15,mi,59
763,137BR,BR,-14,mi,134
764,137BR,BR,-13,mi,152
765,137BR,BR,-12,mi,99
766,137BR,BR,-11,mi,192
767,137BR,BR,-10,mi,80
768,137BR,BR,-9,mi,165
769,137BR,BR,-8,mi,171
770,137BR,BR,-7,mi,133
771,137BR,BR,-6,mi,73
772,137BR,BR,-5,mi,119
773,137BR,BR,-4,mi,85
774,137BR,BR,-3,mi,141
775,137BR,BR,-2,mi,206
776,137BR,BR,-1,mi,438
777,137BR,BR,0,mi,200
778,137BR,BR,1,mi,90
779,137BR,BR,2,mi,315
780,137BR,BR,3,mi,541
781,137BR,BR,4,mi,268
782,137BR,BR,5,mi,580
783,137BR,BR,6,mi,699
784,137BR,BR,7,mi,64
785,137BR,BR,8,mi,0
786,137BR,BR,9,mi,64
787,137BR,BR,10,mi,150
788,137BR,BR,11,mi,335
789,137BR,BR,12,mi,140
790,137BR,BR,13,mi,249
791,137BR,BR,14,mi,13
792,137FL,FL,-57,mi,0
793,137FL,FL,-56,mi,6
794,137FL,FL,-55,mi,103
795,137FL,FL,-54,mi,3
796,137FL,FL,-53,mi,2
797,137FL,FL,-52,mi,94
798,137FL,FL,-51,mi,74
799,137FL,FL,-50,mi,130
800,137FL,FL,-49,mi,228
801,137FL,FL,-48,mi,221
802,137FL,FL,-47,mi,70
803,137FL,FL,-46,mi,121
804,137FL,FL,-45,mi,97
805,137FL,FL,-44,mi,202
806,137FL,FL,-43,mi,230
807,137FL,FL,-42,mi,104
808,137FL,FL,-41,mi,0
809,137FL,FL,-40,mi,81
810,137FL,FL,-39,mi,169
811,137FL,FL,-38,mi,336
812,137FL,FL,-37,mi,116
813,137FL,FL,-36,mi,2
814,137FL,FL,-35,mi,10
815,137FL,FL,-34,mi,0
816,137FL,FL,-33,mi,49
817,137FL,FL,-32,mi,4
818,137FL,FL,-31,mi,70
819,137FL,FL,-30,mi,1
820,137FL,FL,-29,mi,102
821,137FL,FL,-28,mi,44
822,137FL,FL,-27,mi,227
823,137FL,FL,-26,mi,124
824,137FL,FL,-25,mi,73
825,137FL,FL,-24,mi,38
